Timestamp,Product Name,Sale Price(USD),Original Price(USD),Model,SKU,Rating,Link
"2022-04-10, 00:46:56.945512","SaharaCase - Hard Shell Case for Apple iPad Pro 11"" 2021 (Latest Version) - Black",29.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-hard-shell-case-for-apple-ipad-pro-11-2021-latest-version-black/6456491.p?skuId=6456491
"2022-04-10, 00:46:56.946513","SaharaCase - ESR Folio Case for Apple iPad Pro 11"" (3rd Generation 2021) - Rose Gold",39.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/saharacase-esr-folio-case-for-apple-ipad-pro-11-3rd-generation-2021-rose-gold/6456559.p?skuId=6456559
"2022-04-10, 00:46:56.948014","STM - Dux Plus Case for Apple® iPad® Pro 11"" - Black",48.99,64.95,STM-222-197JV-01,6359559,4.0,https://www.bestbuy.com/site/stm-dux-plus-case-for-apple-ipad-pro-11-black/6359559.p?skuId=6359559
"2022-04-10, 00:46:58.055099","Logitech - Combo Touch iPad Pro 11"" Keyboard Case for Apple iPad Pro (1st, 2nd, and 3rd Gen) - Oxford Gray",158.99,199.99,920-010095,6461995,4.0,https://www.bestbuy.com/site/logitech-combo-touch-ipad-pro-11-keyboard-case-for-apple-ipad-pro-1st-2nd-and-3rd-gen-oxford-gray/6461995.p?skuId=6461995
"2022-04-10, 00:46:58.056100","Speck - Balance Folio Case w/ Microban for Apple iPad Pro 11"" (2018-2021) & iPad Air 10.9"" (2020, 2022) - Black",49.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/speck-balance-folio-case-w-microban-for-apple-ipad-pro-11-2018-2021-ipad-air-10-9-2020-2022-black/6451196.p?skuId=6451196
"2022-04-10, 00:46:58.057601",Apple - Smart Folio for 11-inch iPad Pro (2nd Generation) - Pink Citrus,43.99,Reg $79.00,MH003ZM/A,6228672,4.0,https://www.bestbuy.com/site/apple-smart-folio-for-11-inch-ipad-pro-2nd-generation-pink-citrus/6228672.p?skuId=6228672
"2022-04-10, 00:46:58.058102","Apple - Magic Keyboard for 11-inch iPad Pro (1st, 2nd, or 3rd Generation) and iPad Air (4th, or 5th Generation)",299.00,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/apple-magic-keyboard-for-11-inch-ipad-pro-1st-2nd-or-3rd-generation-and-ipad-air-4th-or-5th-generation/6340356.p?skuId=6340356
"2022-04-10, 00:46:58.059103","UAG - Metropolis Case for iPad Pro 11"" 3rd Gen, iPad Air 4th/5th Gen - Black",79.95,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/uag-metropolis-case-for-ipad-pro-11-3rd-gen-ipad-air-4th-5th-gen-black/6456188.p?skuId=6456188
"2022-04-10, 00:46:58.059603","Logitech - Folio Touch Keyboard Case with Smart Connector for Apple® iPad® Pro 11"" (1st, 2nd & 3rd Gen) - Graphite",159.99,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/logitech-folio-touch-keyboard-case-with-smart-connector-for-apple-ipad-pro-11-1st-2nd-3rd-gen-graphite/6424436.p?skuId=6424436
"2022-04-10, 00:46:58.060604","Apple - Smart Keyboard Folio for 11-inch iPad Pro (1st, 2nd, or 3rd Generation) and iPad Air (4th, or 5th Generation)",179.00,No Sale,No Model,No SKU Found,4.0,https://www.bestbuy.com/site/apple-smart-keyboard-folio-for-11-inch-ipad-pro-1st-2nd-or-3rd-generation-and-ipad-air-4th-or-5th-generation/6340372.p?skuId=6340372
